ID,Sev,Pri,State,Product,Comp,Summary,Sum
29821,nor,P3,RESO,PDE,Build,Compiling non-platform specific code using SWT,'Compiling non-platform specific code using SWT'
29822,enh,P2,VERI,Platform,Ant,Streamline single target case for Ant View,'Streamline single target case for Ant View'
29823,enh,P3,RESO,PDE,Build,Checking the version numbers of the required elements,'Checking the version numbers of the required elements'
29824,enh,P2,VERI,Platform,Ant,Ant view toolbars should follow type hierarchy example,'Ant view toolbars should follow type hierarchy example'
29828,enh,P3,VERI,Platform,Ant,Too many preference pages,'Too many preference pages'
29830,nor,P3,RESO,Platform,Resource,[Linked resources] copy to sub-folder causes infinite cop...,'[Linked resources] copy to sub-folder causes infinite cop...'
29833,nor,P3,RESO,Platform,Resource,spec behaviour for tree changes during visitor traversal,'spec behaviour for tree changes during visitor traversal'
29835,enh,P2,VERI,Platform,UI,[Coolbars] Need a mechanism to reduce the number of cool ...,'[Coolbars] Need a mechanism to reduce the number of cool ...'
29837,maj,P3,RESO,Platform,SWT,[Contributions] Combo control does not show on GTK toolba...,'[Contributions] Combo control does not show on GTK toolba...'
29843,nor,P2,VERI,Platform,Debug,tooltip of the debug and run buttons displays  Debu&g  an...,'tooltip of the debug and run buttons displays  Debu&g  an...'
29844,nor,P3,RESO,Platform,Team,File cache grows infinitely,'File cache grows infinitely'
29846,nor,P3,RESO,JDT,UI,Package Explorer shows leading slash in status line for r...,'Package Explorer shows leading slash in status line for r...'
29847,nor,P3,RESO,Platform,UI,[Contributions] Status line text lost when switching view...,'[Contributions] Status line text lost when switching view...'
29848,min,P3,RESO,JDT,UI,Add Javadoc Comment creates incorrect declaration [javadoc],'Add Javadoc Comment creates incorrect declaration [javadoc]'
29857,enh,P2,VERI,Platform,Ant,Open with  Planty ,'Open with  Planty '
29864,nor,P3,VERI,JDT,Core,Unable to restore working set item - cannot instantiate i...,'Unable to restore working set item - cannot instantiate i...'
29865,enh,P3,VERI,JDT,Core,Source visibility in project dependency,'Source visibility in project dependency'
29872,nor,P3,VERI,JDT,Core,ImportOrganizeTest failing due to file missing from index,'ImportOrganizeTest failing due to file missing from index'
29873,nor,P3,CLOS,PDE,UI,[Import/Export] Can't import External Plug-ins by selecti...,'[Import/Export] Can't import External Plug-ins by selecti...'
29874,nor,P3,RESO,JDT,Text,IllegalArgumentException on scrolling in java editor,'IllegalArgumentException on scrolling in java editor'
29877,nor,P2,VERI,Platform,Debug,Chkpii errors in debug,'Chkpii errors in debug'
29878,nor,P2,VERI,Platform,Ant,Chkpii failures for Ant / external tools,'Chkpii failures for Ant / external tools'
29879,maj,P1,RESO,Platform,SWT,HANG - gtk_main_iteration - Eclipse Freezes moving betwee...,'HANG - gtk_main_iteration - Eclipse Freezes moving betwee...'
